주차장명칭,구분,면적,주차면수,유료/무료,주소,위도,경도
고성군청,부설,,311,무료,강원도 고성군 간성읍 하리 12,38.38129688,128.4680551
고성종합운동장,노외,,20,무료,강원도 고성군 간성읍 상리500,38.37710159,128.4657901
종합운동장 풋살장,노외,,295,무료,강원도 고성군 간성읍 상리501,38.37770427,128.4654912
종합운동장 체육관 앞,노외,,25,무료,강원도 고성군 간성읍 상리502,38.37710159,128.4657901
종합운동장 골프장,노외,,322,무료,강원도 고성군 간성읍 상리503,38.37710159,128.4657901
종합운동장 금수리방향,노외,,49,무료,강원도 고성군 간성읍 상리504,38.37710159,128.4657901
종합운동장 뒷편,노외,,158,무료,"강원도 고성군 간성읍 신안리 309-27, 276",38.38050723,128.4695498
고성지역자활센터,노외,,33,무료,강원도 고성군 간성읍 상리 188-1,38.38110091,128.4649235
간성 신안리 공원,노외,,32,무료,"강원도 고성군 간성읍 신안리 258-6, 259-7",38.37997701,128.4705894
거진읍사무소 광장,노외,,158,무료,강원도 고성군 거진읍 송포리 634,38.43611285,128.4525019
거진1리 어촌계활어회집 뒤,노외,,42,무료,강원도 고성군 거진읍 거진리 25-5,38.44891024,128.4643854
거진항 부두,노외,,82,무료,강원도 고성군 거진읍 거진리 22-75,38.44915909,128.4612507
거진전통시장,노외,,118,무료,"강원도 고성군 거진읍 거진7리 267-4, 272-7",38.44772468,128.4548304
거진8리 해변,노외,,116,무료,강원도 고성군 거진읍 거진8리 287-130,38.44599629,128.455087
거진11리 해변,노외,,53,무료,강원도 고성군 거진읍 거진11리 22-28,38.44944733,128.456782
화진포 해변,노외,,430,무료,강원도 고성군 거진읍 화포리 516-1,38.47250515,128.4430602
대진 금강산횟집 앞,노외,,35,무료,강원도 고성군 현내면 대진3리 27-20,38.49866997,128.4258433
대진2리 주차장,노외,,32,무료,강원도 고성군 현내면 대진리 80,38.50221439,128.4262436
대진3리 주차장,노외,,22,무료,강원도 고성군 현내면 대진리 179,38.4984657,128.4260051
명파리해변,노외,,104,무료,강원도 고성군 현내면 명파리 230-11,38.54400194,128.4046237
화진포해양박물관,노외,,240,무료,강원도 고성군 현내면 초도리 94-3,38.48138177,128.4356979
죽왕면사무소,부설,,36,무료,강원도 고성군 죽왕면 오호리 163,38.32876193,128.5252062
죽왕면복지회관,부설,,93,무료,강원도 고성군 죽왕면 오호리 54-4,38.32696271,128.528177
송지호철새관망타워,노외,,81,무료,강원도 고성군 죽왕면 오봉리 9-34,38.33623615,128.5175989
봉수대해변,노외,,152,무료,강원도 고성군 죽왕면 오호리 68-5,38.32410414,128.5264243
송지호 해변,노외,,453,무료,"강원도 고성군 죽왕면 오호리 243-1,244",38.33232103,128.5250855
공현진 해변,노외,,66,무료,강원도 고성군 죽왕면 공현진리 431-20,38.35331481,128.5106257
백도해변,노외,,212,무료,강원도 고성군 죽왕면 문암진리 19-3,38.3016239,128.5459142
토성면 복지회관,부설,,60,무료,강원도 고성군 토성면 천진리 131,38.26036457,128.5564541
천진해변,노외,,159,무료,"강원도 고성군 토성면 천진리 111-4,111-5",38.26056603,128.5606691
아야진해변,노외,,164,무료,강원도 고성군 토성면 아야진리 249-2,38.27877155,128.5528414
봉포항,노외,,122,무료,강원도 고성군 토성면 봉포리 1-7,38.32876193,128.5252062
설악동C2주차장,노외,,427,무료,강원도 속초시 설악동 324-1,38.167011,128.534364
설악동C1주차장,노외,,866,무료,강원도 속초시 설악동 302-5,38.166581,128.5319644
청학2지구 주차장,노외,,13,무료,강원도 속초시 청학동 486-183,38.203196,128.585402
청학1지구 주차장,노외,,24,무료,강원도 속초시 청학동 486,38.202328,128.584094
엑스포 해양유람선 앞 주차장,노외,,178,무료,강원도 속초시 조양동 1557-1,38.190744,128.590924
엑스포장 주차장,노외,,250,무료,강원도 속초시 조양동 1544-3,38.191338,128.585751
석봉도자기 앞 주차장,노외,,257,무료,강원도 속초시 교동 1020-1,38.197222,128.581594
청대로 먹거리단지 앞 주차장,노상,,30,무료,강원도 속초시 교동 990,38.195651,128.572614
삼환아파트~속여고입구 주차장,노상,,71,무료,강원도 속초시 교동 804-106,38.199246,128.571503
법대로 주차장,노상,,92,무료,강원도 속초시 동명동 299-6,38.212785,128.592868
교동가로 주차장,노상,,65,무료,강원도 속초시 교동 636-14,38.20394385,128.5796273
청학가로(번영로) 주차장,노상,,25,무료,강원도 속초시 청학동 488-1,38.205194,128.584151
수복로 주차장,노상,,135,무료,강원도 속초시 청학동 483-16,38.202336,128.586534
장사동 해안도로 주차장,노상,,160,무료,강원도 속초시 장사동 577-42,38.22161275,128.5904095
동명동(수복탑) 주차장,노상,,44,무료,강원도 속초시 동명동 398-1,38.208872,128.592866
영랑동(속초의료원 앞) 주차장,노상,,45,무료,강원도 속초시 영랑동 163-72,38.217907,128.590231
설악산입구 주차장,노상,,20,무료,강원도 속초시 대포동 839-26,38.163741,128.607911
설악동B2주차장,노외,,271,무료,강원도 속초시 설악동 2-2,38.168858,128.5213156
설악동B1주차장,노외,,265,무료,강원도 속초시 설악동 3-1,38.168142,128.5188262
영금정길 주차장,노외,,32,무료,강원도 속초시 동명동 1-115,38.212785,128.600394
동명항길 주차장,노외,,32,무료,강원도 속초시 동명동 1-242,38.21201409,128.5999234
로데오제1지구 주차장,노외,,148,무료,강원도 속초시 청학동 482-258,38.20028974,128.5847355
로데오제2지구 주차장,노외,,187,무료,강원도 속초시 청학동 482-171,38.201911,128.5864196
영랑동 주차장,노외,,220,무료,강원도 속초시 영랑동 184-2,38.214513,128.591093
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
