시군구,시,군구,자동차등록현황,위도,경도
서울 강남,서울,강남,"238,244",37.5172363,127.0473248
서울 강동,서울,강동,"152,372",37.5301251,127.123762
서울 강북,서울,강북,"75,389",37.6396099,127.0256575
서울 강서,서울,강서,"204,285",37.5509786,126.8495382
서울 관악,서울,관악,"118,529",37.4784063,126.9516133
서울 광진,서울,광진,"98,364",37.5384843,127.0822938
서울 구로,서울,구로,"145,204",37.4954031,126.887369
서울 금천,서울,금천,"89,891",37.4518527,126.9020358
서울 노원,서울,노원,"152,145",37.6541917,127.056793
서울 도봉,서울,도봉,"95,745",37.6687738,127.0470706
서울 동대문,서울,동대문,"98,427",37.57436819999999,127.0400189
서울 동작,서울,동작,"106,156",37.512402,126.9392525
서울 마포,서울,마포,"121,224",37.5637561,126.9084211
서울 서대문,서울,서대문,"89,451",37.5791158,126.9367789
서울 서초,서울,서초,"177,928",37.4837121,127.0324112
서울 성동,서울,성동,"106,348",37.5633415,127.0371025
서울 성북,서울,성북,"121,263",37.589116,127.0182146
서울 송파,서울,송파,"246,647",37.5145437,127.1065971
서울 양천,서울,양천,"151,317",37.5168721,126.8663985
서울 영등포,서울,영등포,"146,188",37.5263715,126.8962283
서울 용산,서울,용산,"79,619",37.5384272,126.9654442
서울 은평,서울,은평,"132,712",37.6026957,126.9291119
서울 종로,서울,종로,"50,258",37.5729503,126.9793579
서울 중,서울,중,"61,930",37.5486476,126.948334
서울 중랑,서울,중랑,"114,325",37.6065602,127.0926519
부산 강서,부산,강서,"85,620",35.2122157,128.9805666
부산 금정,부산,금정,"88,347",35.2429921,129.0922773
부산 기장,부산,기장,"83,626",35.2445494,129.2221542
부산 남,부산,남,"100,847",35.069984,129.0649789
부산 동,부산,동,"57,009",35.1528354,129.0709483
부산 동래,부산,동래,"96,440",35.2048575,129.0836402
부산 부산진,부산,부산진,"143,182",35.1630009,129.0531722
부산 북,부산,북,"106,063",35.1971347,128.9903711
부산 사상,부산,사상,"89,145",35.1526399,128.9908173
부산 사하,부산,사하,"113,846",35.1044223,128.9747081
부산 서,부산,서,"30,681",35.1254213,129.0363411
부산 수영,부산,수영,"104,965",35.145615,129.1130831
부산 연제,부산,연제,"104,488",35.1761938,129.0797244
부산 영도,부산,영도,"33,470",35.0912316,129.0681448
부산 중,부산,중,"37,426",35.1223384,129.03698
부산 해운대,부산,해운대,"181,829",35.1631139,129.1635509
대구 남,대구,남,"57,794",35.6754272,128.4299123
대구 달서,대구,달서,"286,275",35.8298561,128.5327576
대구 달성,대구,달성,"141,955",35.7746388,128.4317137
대구 동,대구,동,"166,008",35.85856,128.6161581
대구 북,대구,북,"210,306",35.8857114,128.5828073
대구 서,대구,서,"72,207",35.8658895,128.594339
대구 수성,대구,수성,"214,023",35.8582435,128.6306086
대구 중,대구,중,"61,368",35.8494767,128.6045975
인천 강화,인천,강화,"53,600",37.7467263,126.4878731
인천 계양,인천,계양,"304,413",37.53695039999999,126.7377435
인천 남동,인천,남동,"306,100",37.4469893,126.7319416
인천 동,인천,동,"27,486",37.4523223,126.7116934
인천 미추홀,인천,미추홀,"169,090",37.4636808,126.6504771
인천 부평,인천,부평,"249,518",37.5069818,126.7217739
인천 서,인천,서,"258,220",37.4487297,126.6807058
인천 연수,인천,연수,"208,286",37.4094099,126.6783088
인천 옹진,인천,옹진,"12,686",37.213889,126.178333
인천 중,인천,중,"80,045",37.4214034,126.6890857
광주 광산,광주,광산,"210,391",35.1394638,126.7937183
광주 남,광주,남,"94,984",35.1262498,126.9331932
광주 동,광주,동,"45,031",35.2058302,126.9508232
광주 북,광주,북,"200,103",35.1740167,126.9119842
광주 서,광주,서,"147,924",35.1554933,126.8778939
대전 대덕,대전,대덕,"93,017",36.3467189,127.4155717
대전 동,대전,동,"96,524",36.3546889,127.357605
대전 서,대전,서,"215,663",36.3359799,127.3740184
대전 유성,대전,유성,"183,762",36.362216,127.3561329
대전 중,대전,중,"102,115",36.3207773,127.4248775
울산 남,울산,남,"161,974",35.54368300000001,129.3298017
울산 동,울산,동,"63,179",35.5048563,129.4166007
울산 북,울산,북,"119,296",35.58273399999999,129.3609087
울산 울주,울산,울주,"132,244",35.54,129.2
울산 중,울산,중,"103,132",35.5657506,129.323468
세종 세종특별자치,세종,세종특별자치,"182,919",36.6950456,-97.0339293
경기 가평,경기,가평,"32,295",37.8315403,127.5098827
경기 고양 덕양,경기,고양 덕양,"188,121",37.6372458,126.8322044
경기 고양 일산동,경기,고양 일산동,"131,845",37.6815601,126.769111
경기 고양 일산서,경기,고양 일산서,"121,238",37.6754336,126.7505994
경기 과천,경기,과천,"27,306",37.429246,126.9874451
경기 광명,경기,광명,"105,277",37.4784878,126.8642888
경기 광주,경기,광주,"204,116",37.4171413,127.2561413
경기 구리,경기,구리,"73,443",37.5943124,127.1295646
경기 군포,경기,군포,"103,749",37.3616703,126.9351741
경기 김포,경기,김포,"237,235",37.6152464,126.7156325
경기 남양주,경기,남양주,"315,280",37.6360028,127.2165279
경기 동두천,경기,동두천,"40,140",37.9034112,127.0605075
경기 부천,경기,부천,"308,449",37.5034138,126.7660309
경기 성남 분당,경기,성남 분당,"194,196",37.382699,127.1189057
경기 성남 수정,경기,성남 수정,"79,981",37.4502462,127.1455402
경기 성남 중원,경기,성남 중원,"75,968",37.4304435,127.1372635
경기 수원 권선,경기,수원 권선,"200,691",37.2572117,126.9722014
경기 수원 영통,경기,수원 영통,"150,880",37.2594897,127.0466381
경기 수원 장안,경기,수원 장안,"107,347",37.3038177,127.0099185
경기 수원 팔달,경기,수원 팔달,"76,726",37.2860983,127.0349995
경기 시흥,경기,시흥,"261,394",37.3798877,126.8031025
