,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
141,15570175,다빈치골프프라자,,P,스포츠,P03,실외운동시설,P03A09,골프장,R91121,골프장 운영업,42,강원도,42130,원주시,4213055000,단구동,4213010700.0,단구동,4213010700216070004,1,대지,1607,4.0,강원도 원주시 단구동 1607-4,421303219013,강원도 원주시 단구로,354,3.0,4213010700116070004000001,,강원도 원주시 단구로 354-3,220965,26487.0,,2,,127.957434902708,37.3248237201487
1415,15515398,국제남여헬스클럽,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42130,원주시,4213059000,단계동,4213011000.0,단계동,4213011000208150000,1,대지,815,,강원도 원주시 단계동 815,421304457619,강원도 원주시 평원초교길,2,,4213011000108150000021510,,강원도 원주시 평원초교길 2,220938,26423.0,,3,,127.929461388605,37.3502848329825
1568,20798446,히트스크린골프,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42110,춘천시,4211070500,신사우동,4211011800.0,우두동,4211011800207110001,1,대지,711,1.0,강원도 춘천시 우두동 711-1,421103218039,강원도 춘천시 충열로,45,,4211011800107110001000001,,강원도 춘천시 충열로 45,200939,24226.0,,5,,127.733397240894,37.8992058876479
1926,15489412,강변스크린골프연습장,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42110,춘천시,4211031000,동면,4211031023.0,동면,4211031023207510002,1,대지,751,2.0,강원도 춘천시 동면 장학리 751-2,421103218022,강원도 춘천시 동면 소양강로,182,,4211031023107510000061762,,강원도 춘천시 동면 소양강로 182,200853,24210.0,,,,127.751144859204,37.90322727463
2159,16173444,강릉유산스포츠센터,,P,스포츠,P02,실내운동시설,P02A14,스포츠센터,R91131,종합 스포츠시설 운영업,42,강원도,42150,강릉시,4215061500,강남동,4215012200.0,유산동,4215012200201400000,1,대지,140,,강원도 강릉시 유산동 140,421504460625,강원도 강릉시 신석길,24,16.0,4215012200101400000000001,,강원도 강릉시 신석길 24-16,210220,25613.0,,,,128.919819773966,37.7383092109038
2704,22426456,드림수상레저,,P,스포츠,P03,실외운동시설,P03A23,수상스키,R91239,기타 수상오락 서비스업,42,강원도,42110,춘천시,4211067500,강남동,4211012500.0,삼천동,4211012500204680002,1,대지,468,2.0,강원도 춘천시 삼천동 468-2,421104454445,강원도 춘천시 스포츠타운길223번길,95,,4211012500104680002012377,,강원도 춘천시 스포츠타운길223번길 95,200200,24239.0,,,,127.689932087126,37.8708252189425
3016,24562300,합기도백호체육관,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42230,삼척시,4223054000,정라동,4223012500.0,정상동,4223012500204590009,1,대지,459,9.0,강원도 삼척시 정상동 459-9,422304472301,강원도 삼척시 정상안1길,13,29.0,4223012500104590010000001,대장금,강원도 삼척시 정상안1길 13-29,245130,25926.0,,,,129.178047984172,37.4460071661487
3040,15504533,고고짐,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,,,42,강원도,42130,원주시,4213059000,단계동,4213011000.0,단계동,4213011000208650006,1,대지,865,6.0,강원도 원주시 단계동 865-6,421303219026,강원도 원주시 봉화로,22,,4213011000108650006000001,더파크타워,강원도 원주시 봉화로 22,220938,26436.0,,,,127.928754090811,37.3462474276117
3278,15540234,대한체육관,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42230,삼척시,4223057000,성내동,4223011800.0,원당동,4223011800201220003,1,대지,122,3.0,강원도 삼척시 원당동 122-3,422303224022,강원도 삼척시 오십천로,301,30.0,4223011800101220003000001,원당현대아파트,강원도 삼척시 오십천로 301-30,245726,25918.0,,,,129.152433842918,37.4397541342362
3781,15556644,굿샷스크린골프연습장,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,,,42,강원도,42130,원주시,4213065000,행구동,4213011400.0,행구동,4213011400217100001,1,대지,1710,1.0,강원도 원주시 행구동 1710-1,421304457431,강원도 원주시 영랑길,14,,4213011400117100001000001,,강원도 원주시 영랑길 14,220160,26456.0,,4,,127.972221893241,37.3409400418972
