구분,시도,시군구명,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지지번주소,소재지도로명주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,경도,위도,문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132016000014,20161109,,1,영업/정상,13,영업중,,,,,336810700,,,강원도 고성군 간성읍 어천리 62번지,강원도 고성군 간성읍 꽃내마루길 75 (꽃내라팜),24740,꽃내라팜 야영장,2.02E+13,I,44:42.0,,128.4269309,38.34660776,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000016,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 현내면 초도리 51-4번지,강원도 고성군 현내면 초도안길 13,24706,초도1리해변야영장,2.02E+13,I,44:42.0,,128.4332837,38.48406498,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000015,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 죽왕면 공현진리 97번지,강원도 고성군 죽왕면 공현진길 19,24745,공현진1리해변야영장,2.02E+13,I,44:42.0,,128.5087797,38.35094038,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000014,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 죽왕면 오호리 181-3번지,강원도 고성군 죽왕면 동해대로 5892,24747,송지호해변야영장,2.02E+13,I,44:42.0,,128.5241249,38.32573864,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000013,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 죽왕면 문암진리 28-1번지,강원도 고성군 죽왕면 문암항길 61,24752,자작도야영장,2.02E+13,I,44:42.0,,128.545133,38.30037737,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000012,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 죽왕면 공현진리 55-1번지,강원도 고성군 죽왕면 공현진해변길 83,24745,공현진2리해변야영장,2.02E+13,I,44:42.0,,128.5105462,38.35275589,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000011,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 현내면 초도리 94-7번지 화진포해변관리 사무소,강원도 고성군 현내면 초도항길 19,24706,솔밭야영장,2.02E+13,I,44:42.0,,128.4368728,38.4792249,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000010,20180712,,3,폐업,3,폐업,20181106,,,,3306823677,,,강원도 고성군 거진읍 거진리 158-75번지,강원도 고성군 거진읍 거진길 54,24714,화진포(거진)야영장,2.02E+13,I,44:42.0,,128.4553578,38.44559096,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000009,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 토성면 아야진리 249-4번지 일원,강원도 고성군 토성면 아야진남1길 6-3,24757,아야진해변야영장,2.02E+13,I,44:42.0,,128.5523816,38.27559872,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000008,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 토성면 천진리 169-2번지 천진마트,강원도 고성군 토성면 토성로 151-1,24764,천진해변야영장,2.02E+13,I,44:42.0,,128.5574476,38.25543836,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000007,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 죽왕면 삼포리 1291번지,강원도 고성군 죽왕면 황포길 70,24750,삼포해변야영장,2.02E+13,I,44:42.0,,128.5270975,38.30980891,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000006,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 거진읍 반암리 130-1번지,강원도 고성군 거진읍 반암길 47,24723,반암리해변야영장,2.02E+13,I,44:42.0,,128.4611541,38.41964447,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000005,20180712,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 거진읍 거진리 408-9번지,강원도 고성군 거진읍 거탄진로72번길 6-14,24713,거진11리해변야영장,2.02E+13,I,44:42.0,,128.4531996,38.43790984,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000004,20180711,,3,폐업,3,폐업,20181106,,,,3306313811,,,강원도 고성군 죽왕면 삼포리 243-13번지 오션투유콘도,강원도 고성군 죽왕면 삼포해변길 9,24750,속초동해카라반호텔,2.02E+13,I,44:42.0,,128.5303957,38.31421314,일반야영장업,,관리지역,,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000003,20180710,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,강원도 고성군 간성읍 진부리길 10,24742,진부리유원지야영장,2.02E+13,I,44:42.0,,128.3621876,38.28911608,일반야영장업,,관리지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000002,20180622,,3,폐업,3,폐업,20181106,,,,221609604,,,강원도 고성군 죽왕면 오호리 1번지,,,(주)강원심층수 하계 휴양소,2.02E+13,I,44:42.0,,128.5253331,38.32850768,일반야영장업,,관리지역,,학교정화(상대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132018000001,20180510,,3,폐업,3,폐업,20181106,,,,,,,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,강원도 고성군 간성읍 소똥령마을길 32  장신유원지휴게소,24741,장신리 유원지 야영장,2.02E+13,I,44:42.0,,128.3776792,38.32777076,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000010,20170803,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 죽왕면 오호리 1번지,강원도 고성군 죽왕면 심층수길 85 (송지호관리사무실),24747,대교에듀캠프,2.02E+13,I,44:42.0,,128.5253331,38.32850768,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000009,20170721,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 현내면 초도리 94번지,강원도 고성군 현내면 초도항길 19 (화진포해변관리 사무소),24706,화진포 솔밭야영장,2.02E+13,I,44:42.0,,128.4352992,38.4791184,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000008,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 간성읍 진부리 133번지,강원도 고성군 간성읍 진부령로 1000,24742,장신리 유원지 야영장,2.02E+13,I,44:42.0,,128.3625999,38.29034285,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000007,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 거진읍 반암리 4-1번지,강원도 고성군 거진읍 반암길 40,24723,반암리 해수욕장 야영장,2.02E+13,I,44:42.0,,128.4619333,38.41863539,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000006,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 거진읍 화포리 516-1번지,강원도 고성군 거진읍 화진포길 330,24710,화진포(거진) 해수욕장 야영장,2.02E+13,I,44:42.0,,128.4372156,38.47530172,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000005,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 죽왕면 오호리 1-5번지,강원도 고성군 죽왕면 심층수길 1-15,24747,송지호 해수욕장 야영장,2.02E+13,I,44:42.0,,128.5267235,38.32774975,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000004,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 죽왕면 공현진리 98번지,강원도 고성군 죽왕면 공현진길 21-3,24745,공현1리 해수욕장 야영장,2.02E+13,I,44:42.0,,128.5086951,38.35113337,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000003,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 토성면 청간리 1-14번지,강원도 고성군 토성면 아야진해변길 17,24758,청간리 해수욕장 야영장,2.02E+13,I,44:42.0,,128.555745,38.26591604,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000002,20170720,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 토성면 아야진리 230번지,강원도 고성군 토성면 아야진해변길 230-4,24758,아야진 해수욕장 야영장,2.02E+13,I,44:42.0,,128.5517622,38.27386087,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132017000001,20170525,,3,폐업,3,폐업,20171113,,,,,,,강원도 고성군 간성읍 장신리 513번지,강원도 고성군 간성읍 소똥령마을길 75-3,24741,장신리 유원지 야영장,2.02E+13,I,44:42.0,,128.3776792,38.32777076,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132016000013,20160728,,3,폐업,3,폐업,20161117,,,,,,,강원도 고성군 죽왕면 오호리 1번지,,,송지호 글램핑장,2.02E+13,I,44:42.0,,128.5253331,38.32850768,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132016000012,20160721,,3,폐업,3,폐업,20161117,,,,,,,강원도 고성군 간성읍 장신리 513번지,,,장신리 유원지 야영장,2.02E+13,I,44:42.0,,128.3776792,38.32777076,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반야영장,강원도,고성군,일반야영장업,03_11_07_P,4340000,CDFI2262132016000011,20160721,,3,폐업,3,폐업,20161117,,,,336827748,,,강원도 고성군 현내면 명파리,강원도 고성군 현내면 명파4길 43 (명파비지터센터),24701,명파 해변 방가로 야영장,2.02E+13,I,44:42.0,,128.4039604,38.54131788,일반야영장업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
