시도,지역구분,차종,전체,차종,전체,차종,전체,총합,시군구,위도,경도
서울,서울특별시,전기승용,12412,전기승용,12412,전기승용,12412,14415,서울특별시,37.566535,126.9779692
부산,부산광역시,전기승용,4525,전기승용,4525,전기승용,4525,5847,부산광역시,35.1795543,129.0756416
대구,대구광역시,전기승용,3082,전기승용,3082,전기승용,3082,4134,대구광역시,35.8714354,128.601445
인천,인천광역시,전기승용,4255,전기승용,4255,전기승용,4255,5510,인천광역시,37.4562557,126.7052062
광주,광주광역시,전기승용,1081,전기승용,1081,전기승용,1081,1731,광주광역시,35.1595454,126.8526012
대전,대전광역시,전기승용,2918,전기승용,2918,전기승용,2918,3495,대전광역시,36.3504119,127.3845475
울산,울산광역시,전기승용,513,전기승용,513,전기승용,513,912,울산광역시,35.5383773,129.3113596
세종,세종특별자치시,전기승용,318,전기승용,318,전기승용,318,394,세종특별자치시,36.6950456,-97.0339293
경기,수원시,전기승용,933,전기승용,933,전기승용,933,1172,경기 수원시,37.2635727,127.0286009
경기,성남시,전기승용,1007,전기승용,1007,전기승용,1007,1219,경기 성남시,37.4449168,127.1388684
경기,의정부시,전기승용,360,전기승용,360,전기승용,360,462,경기 의정부시,37.738098,127.0336819
경기,안양시,전기승용,472,전기승용,472,전기승용,472,681,경기 안양시,37.3942527,126.9568209
경기,부천시,전기승용,375,전기승용,375,전기승용,375,679,경기 부천시,37.5034138,126.7660309
경기,광명시,전기승용,212,전기승용,212,전기승용,212,294,경기 광명시,37.4784878,126.8642888
경기,평택시,전기승용,293,전기승용,293,전기승용,293,613,경기 평택시,36.9921075,127.1129451
경기,동두천시,전기승용,58,전기승용,58,전기승용,58,119,경기 동두천시,37.9034112,127.0605075
경기,안산시,전기승용,523,전기승용,523,전기승용,523,739,경기 안산시,37.3218778,126.8308848
경기,고양시,전기승용,910,전기승용,910,전기승용,910,1135,경기 고양시,37.6583599,126.8320201
경기,과천시,전기승용,90,전기승용,90,전기승용,90,100,경기 과천시,37.429246,126.9874451
경기,구리시,전기승용,116,전기승용,116,전기승용,116,159,경기 구리시,37.5943124,127.1295646
경기,남양주시,전기승용,429,전기승용,429,전기승용,429,684,경기 남양주시,37.6360028,127.2165279
경기,오산시,전기승용,144,전기승용,144,전기승용,144,228,경기 오산시,37.1498096,127.0772212
경기,시흥시,전기승용,163,전기승용,163,전기승용,163,268,경기 시흥시,37.3798877,126.8031025
경기,군포시,전기승용,156,전기승용,156,전기승용,156,236,경기 군포시,37.3616703,126.9351741
경기,의왕시,전기승용,150,전기승용,150,전기승용,150,221,경기 의왕시,37.344701,126.9683104
