,상세도로망_링크ID,노선번호,링크 길이,도로명,시도명,시군구명,시간적 범위,평일주말,당일최대정체길이
0,2270000903,5,,중부내륙고속도로,강원도,,전일,평일,0
1,2270001003,5,,중부내륙고속도로,강원도,,전일,평일,1
2,1160087302,4,,서해안고속도로,강원도,,전일,평일,2
3,1160087502,4,,서해안고속도로,강원도,,전일,평일,13
4,2270000903,3,,중부고속도로,강원도,,전일,평일,0
5,2270001003,3,,중부고속도로,강원도,,전일,평일,9
6,2000003403,2,,영동고속도로,강원도,,전일,평일,60
7,2260138800,2,,영동고속도로,강원도,,전일,평일,0
8,3530477601,1,,경부고속도로,강원도,,전일,평일,13
9,2450132701,1,,경부고속도로,강원도,,전일,평일,3
10,2270005402,5,,중부내륙고속도로,강원도,,전일,평일,0
11,2270061700,5,,중부내륙고속도로,강원도,,전일,평일,1
12,1160087900,4,,서해안고속도로,강원도,,전일,평일,1
13,3390007100,4,,서해안고속도로,강원도,,전일,평일,3
14,2270005402,3,,중부고속도로,강원도,,전일,평일,1
15,2270061700,3,,중부고속도로,강원도,,전일,평일,6
16,2300019201,2,,영동고속도로,강원도,,전일,평일,2
17,2300019302,2,,영동고속도로,강원도,,전일,평일,3
18,3550732701,1,,경부고속도로,강원도,,전일,평일,8
19,2450132601,1,,경부고속도로,강원도,,전일,평일,3
20,3390023800,4,,서해안고속도로,강원도,,전일,평일,0
21,2270062100,3,,중부고속도로,강원도,,전일,평일,0
22,2270062500,3,,중부고속도로,강원도,,전일,평일,0
23,2270062100,5,,중부내륙고속도로,강원도,,전일,평일,0
24,2270062500,5,,중부내륙고속도로,강원도,,전일,평일,0
25,3530477501,1,,경부고속도로,강원도,,전일,평일,5
26,2300020402,2,,영동고속도로,강원도,,전일,평일,0
27,2240124202,4,,서해안고속도로,강원도,,전일,평일,5
28,2450132901,1,,경부고속도로,강원도,,전일,평일,0
29,2300020503,2,,영동고속도로,강원도,,전일,평일,10
30,2270545400,5,,중부내륙고속도로,강원도,,전일,평일,0
31,2300019700,5,,중부내륙고속도로,강원도,,전일,평일,0
32,2240124800,4,,서해안고속도로,강원도,,전일,평일,0
33,2240141300,4,,서해안고속도로,강원도,,전일,평일,12
34,2270545400,3,,중부고속도로,강원도,,전일,평일,0
35,2300019700,3,,중부고속도로,강원도,,전일,평일,6
36,2300021201,2,,영동고속도로,강원도,,전일,평일,14
37,2300022500,2,,영동고속도로,강원도,,전일,평일,3
38,3530477601,1,,경부고속도로,강원도,,전일,평일,8
39,2450132701,1,,경부고속도로,강원도,,전일,평일,2
40,2300026200,5,,중부내륙고속도로,강원도,,전일,주말,0
41,2300037100,5,,중부내륙고속도로,강원도,,전일,주말,0
42,3400129400,4,,서해안고속도로,강원도,,전일,주말,0
43,2870016600,4,,서해안고속도로,강원도,,전일,주말,2
44,2300026200,3,,중부고속도로,강원도,,전일,주말,0
45,2300037100,3,,중부고속도로,강원도,,전일,주말,2
46,2300022800,2,,영동고속도로,강원도,,전일,주말,8
47,2300023600,2,,영동고속도로,강원도,,전일,주말,0
48,3550732701,1,,경부고속도로,강원도,,전일,주말,6
49,2450132601,1,,경부고속도로,강원도,,전일,주말,7
50,2300036000,5,,중부내륙고속도로,강원도,,전일,주말,0
51,2300035600,5,,중부내륙고속도로,강원도,,전일,주말,0
52,2870017200,4,,서해안고속도로,강원도,,전일,주말,0
53,2240906201,4,,서해안고속도로,강원도,,전일,주말,2
54,2300036000,3,,중부고속도로,강원도,,전일,주말,0
55,2300035600,3,,중부고속도로,강원도,,전일,주말,0
56,2300027621,2,,영동고속도로,강원도,,전일,주말,15
57,2300465400,2,,영동고속도로,강원도,,전일,주말,0
58,3530477501,1,,경부고속도로,강원도,,전일,주말,4
59,2450132901,1,,경부고속도로,강원도,,전일,주말,3
