,L1 대분류,L2 중분류,마스터 POI ID,POI명,분류명,시도명칭,시군구명칭,법정읍면동명칭,리명칭,번지,X좌표 경도,Y좌표 위도,GRID 격자 코드
0,장소,관광지,18921801,동화사,지역사찰,강원도,고성군,거진읍,거진리,57,128.461231846869,38.4500990879468,라아838503
1,장소,관광지,20739840,공현진2리해수욕장,해수욕장,강원도,고성군,죽왕면,공현진리,,128.509936046267,38.3567228330802,라아882400
2,장소,관광지,7231262,백도해수욕장,해수욕장,강원도,고성군,죽왕면,문암진리,19-22,128.546412289393,38.300913819225,라아914339
3,장소,관광지,11385177,건봉산천연보호구역,일반관광지,강원도,고성군,거진읍,냉천리,산2,128.370069234145,38.4044988845984,라아759452
4,장소,관광지,14123105,고성전통한과,토속/특산물/기념품매장,강원도,고성군,죽왕면,송암리,231,128.535803652593,38.3066740590294,라아905345
5,장소,관광지,826364,용촌저수지,지역호수/저수지,강원도,고성군,토성면,용촌리,산110-1,128.561553450415,38.2262536663786,라아929256
6,장소,관광지,14110638,철통저수지,지역호수/저수지,강원도,고성군,현내면,철통리,182,128.415652998155,38.4917086335574,라아798549
7,장소,관광지,16753667,속초젓갈건어물,토속/특산물/기념품매장,강원도,속초시,중앙동,,482-289,128.591249838252,38.2020708246995,라아955229
8,장소,관광지,19879005,강원도협동조합감자,일반관광지,강원도,속초시,조양동,,1507-1,128.58659836689,38.189252731238,라아951215
9,장소,관광지,824740,신흥저수지,지역호수/저수지,강원도,속초시,노학동,,1316-51,128.53163023805,38.2013839568602,라아903228
10,장소,관광지,7231236,대진1리해수욕장,해수욕장,강원도,고성군,현내면,대진리,,128.423469634977,38.5047606091363,라아805564
11,장소,관광지,8682498,거진등대,일반관광지,강원도,고성군,거진읍,거진리,10-6,128.464295616486,38.4490633147112,라아841502
12,장소,관광지,10608597,강원관광정보센터,유명관광지,강원도,속초시,조양동,,1545-1,128.582598564009,38.1908166230844,라아948217
13,장소,관광지,15754504,법화정사,지역사찰,강원도,속초시,중앙동,,503-77,128.587460812053,38.2082459966662,라아952236
14,장소,관광지,17739453,영금정전망대,일반관광지,강원도,속초시,동명동,,1-256,128.60213850248,38.2120592347727,라아964241
15,장소,관광지,7231186,송지호해수욕장,해수욕장,강원도,고성군,죽왕면,오호리,,128.527781817048,38.3325837608404,라아898374
16,장소,관광지,8479298,송지호공원송지호철새관망타워,일반관광지,강원도,고성군,죽왕면,오봉리,9-34,128.517665643595,38.3362648223653,라아889378
17,장소,관광지,15926164,기원정사,지역사찰,강원도,고성군,죽왕면,구성리,543,128.459221599588,38.3248788821919,라아838364
18,장소,관광지,19868713,신선대,일반관광지,강원도,속초시,설악동,,산41,128.465815152151,38.1379158389074,라아846157
19,장소,관광지,16516795,아바이마을,일반관광지,강원도,속초시,청호동,,550-13,128.59427906772,38.2034808832927,라아958231
20,장소,관광지,18922116,무량사,지역사찰,강원도,고성군,거진읍,거진리,86,128.461072507042,38.4508471225289,라아838504
21,장소,관광지,7231526,명파리해수욕장,해수욕장,강원도,고성군,현내면,명파리,230-30,128.405497322238,38.5432647081986,라아789606
22,장소,관광지,13664156,도예체험관,일반관광지,강원도,고성군,거진읍,용하리,165-2,128.399449093479,38.4470135735637,라아784499
23,장소,관광지,7231514,가진리해수욕장,해수욕장,강원도,고성군,죽왕면,가진리,,128.509094273159,38.3732108019069,라아881418
24,장소,관광지,8268564,비룡폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.497213061055,38.1656404807971,라아873188
25,장소,관광지,13920749,속초젓갈축제,지역축제,강원도,속초시,교동,,1025-1,128.582406037936,38.1956766158994,라아947222
26,장소,관광지,15976006,약수암,지역사찰,강원도,고성군,거진읍,거진리,234-3,128.454280105206,38.4511653429875,라아832504
27,장소,관광지,21607609,봉디브,토속/특산물/기념품매장,강원도,고성군,토성면,성천리,189,128.545701687121,38.2271383924763,라아915257
28,장소,관광지,7231136,화진포해수욕장,해수욕장,강원도,고성군,거진읍,화포리,,128.439338379074,38.478312986283,라아819534
29,장소,관광지,14581652,반야사,지역사찰,강원도,고성군,죽왕면,삼포리,321,128.524384603783,38.3202259566777,라아895360
30,장소,관광지,16380542,대진5리해수욕장,해수욕장,강원도,고성군,현내면,대진리,191-1,128.429191509706,38.4963948786713,라아810554
31,장소,관광지,17424589,홍삼체험관,일반관광지,강원도,속초시,설악동,,3-2,128.518779133521,38.1676879801861,라아892190
32,장소,관광지,17600296,얼라이브하트,일반관광지,강원도,속초시,노학동,,1069-2,128.517438621235,38.2055126744487,라아890232
33,장소,관광지,17756516,테라크랩팜,일반관광지,강원도,속초시,노학동,,1073-51,128.515526420514,38.2056254829293,라아889233
34,장소,관광지,8292852,함정균가옥,유명관광지,강원도,고성군,죽왕면,오봉리,375,128.498759598264,38.3413218217181,라아872383
35,장소,관광지,14977506,금강사,지역사찰,강원도,고성군,토성면,용촌리,535,128.568868341991,38.234501099894,라아935265
36,장소,관광지,18100491,하늬라벤더팜,일반관광지,강원도,고성군,간성읍,어천리,786-12,128.415606947968,38.3490116398144,라아800391
37,장소,관광지,5616850,미륵암,지역사찰,강원도,고성군,토성면,운봉리,552-17,128.508477352064,38.2957131146096,라아881332
38,장소,관광지,5615490,극락암,지역사찰,강원도,고성군,간성읍,교동리,280,128.439943020887,38.3805720739675,라아820426
39,장소,관광지,8292031,한화리조트설악설악프라자랜드,일반유원지/일반놀이공원,강원도,속초시,장사동,,24-10,128.532856826562,38.2053608171642,라아904232
40,장소,관광지,8292592,영금정,일반관광지,강원도,속초시,동명동,,1-185,128.601575982049,38.2118263232131,라아964240
41,장소,관광지,8292751,천진항,유명관광지,강원도,고성군,토성면,천진리,111-3,128.561260327765,38.260145557053,라아928293
42,장소,관광지,20935326,울산바위전망대,일반관광지,강원도,고성군,토성면,원암리,419,128.480514503957,38.2090393147926,라아858236
43,장소,관광지,6078845,영랑호화랑도체험관광단지,일반관광지,강원도,속초시,장사동,,415,128.570636555743,38.2183804883662,라아937247
44,장소,관광지,14965445,에덴공예사,토속/특산물/기념품매장,강원도,속초시,설악동,,34,128.515825232623,38.1685164765676,라아889191
45,장소,관광지,20661122,속초음악불꽃크루즈,지역축제,강원도,속초시,동명동,,383-9,128.593427150601,38.2096096325151,라아957238
46,장소,관광지,14594170,안락암,지역사찰,강원도,속초시,설악동,,146,128.48988136531,38.1733920927184,라아867197
47,장소,관광지,16397182,도원리휴양지,일반유원지/일반놀이공원,강원도,고성군,토성면,도원리,398-1,128.4729209666,38.2674136747998,라아851301
48,장소,관광지,8292757,청간정,유명관광지,강원도,고성군,토성면,청간리,93,128.558398713039,38.2644370277677,라아925298
49,장소,관광지,16493445,칠선폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.483170727973,38.1439767719025,라아861164
50,장소,관광지,21085849,설악로데오거리,먹거리/패션거리,강원도,속초시,중앙동,,467-1,128.591651996931,38.2043901601893,라아955232
51,장소,관광지,8268815,진부령계곡,폭포/계곡,강원도,고성군,간성읍,장신리,142,128.386519235995,38.3550885327563,라아774397
52,장소,관광지,10605766,동화사,지역사찰,강원도,고성군,거진읍,거진리,208-4,128.451081467111,38.4513560911221,라아829505
53,장소,관광지,15508691,다래헌,토속/특산물/기념품매장,강원도,속초시,설악동,,145-1,128.490775868295,38.1721294037707,라아867195
54,장소,관광지,16493404,오련폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.474450321326,38.1433283656673,라아853163
55,장소,관광지,7231225,교암해수욕장,해수욕장,강원도,고성군,토성면,교암리,,128.547245617791,38.2906331376878,라아915327
56,장소,관광지,17770663,짚라인설악,일반관광지,강원도,고성군,토성면,원암리,403-24,128.494694217167,38.2117519393664,라아870239
57,장소,관광지,18920334,관음사,지역사찰,강원도,고성군,거진읍,송포리,494-1,128.44187369412,38.4301042575185,라아822481
58,장소,관광지,21004219,속초국화전,지역축제,강원도,속초시,조양동,,1544-2,128.585014829732,38.1917092381328,라아950218
59,장소,관광지,7231335,천진해수욕장,해수욕장,강원도,고성군,토성면,천진리,,128.560421036008,38.2573074722676,라아927290
60,장소,관광지,8268845,토왕성폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.495462024313,38.1563936388856,라아872178
61,장소,관광지,5497772,건봉사,유명사찰,강원도,고성군,거진읍,냉천리,36,128.379383443606,38.4023650727305,라아767450
62,장소,관광지,5615360,보광사,지역사찰,강원도,속초시,동명동,,579-2,128.585143438407,38.2132986784919,라아949242
63,장소,관광지,21621410,기념품점,토속/특산물/기념품매장,강원도,속초시,금호동,,610-20,128.57733729754,38.2135409139155,라아943242
64,장소,관광지,809971,대포소류지,지역호수/저수지,강원도,속초시,대포동,,33,128.593031526622,38.1715731104175,라아957196
65,장소,관광지,7762240,무량사,지역사찰,강원도,고성군,거진읍,거진리,208-2,128.453423809029,38.454291519497,라아831508
66,장소,관광지,11384550,가리비축제,지역축제,강원도,고성군,죽왕면,문암진리,460-9,128.542294543241,38.3088102785817,라아911347
67,장소,관광지,17228272,신선사,지역사찰,강원도,고성군,토성면,도원리,399-11,128.472795638205,38.2663391999423,라아851299
68,장소,관광지,5236548,화진포호,대형호수/저수지,강원도,고성군,현내면,죽정리,산194,128.43771306603,38.4694361352717,라아818525
69,장소,관광지,5497775,화암사,유명사찰,강원도,고성군,토성면,신평리,772-2,128.469670155477,38.2268309124896,라아848256
70,장소,관광지,9653934,왕곡마을,유명관광지,강원도,고성군,죽왕면,오봉리,736-5,128.500240739622,38.3402565886349,라아874382
71,장소,관광지,16452146,설악산자생식물원,식물원,강원도,속초시,노학동,,산337,128.524912416816,38.1964288328687,라아897222
72,장소,관광지,18920946,대진분회,지역사찰,강원도,고성군,현내면,대진리,23-15,128.42362536636,38.5033230710847,라아805562
73,장소,관광지,826664,봉포호,지역호수/저수지,강원도,고성군,토성면,봉포리,산82-1,128.56066885997,38.2509102141836,라아928283
74,장소,관광지,7231265,봉수대해수욕장,해수욕장,강원도,고성군,죽왕면,오호리,,128.527339053767,38.3242543718323,라아898364
75,장소,관광지,7231321,자작도해수욕장,해수욕장,강원도,고성군,죽왕면,문암진리,460-9,128.542294543241,38.3088102785817,라아911347
76,장소,관광지,15965295,계태사,지역사찰,강원도,속초시,노학동,,627-3,128.554932310363,38.191215558003,라아923217
77,장소,관광지,811712,도원저수지,지역호수/저수지,강원도,고성군,토성면,도원리,206,128.483966634521,38.2692446714527,라아860303
78,장소,관광지,8268778,저항령계곡,폭포/계곡,강원도,속초시,설악동,,산39,128.445083290229,38.1769136220508,라아827200
79,장소,관광지,19479520,삼포휴양소,휴양림/수목원,강원도,고성군,죽왕면,삼포리,산48-20,128.533512224036,38.3143953643917,라아903353
80,장소,관광지,7231139,속초해수욕장,해수욕장,강원도,속초시,조양동,,,128.604559873374,38.1896681208339,라아967216
81,장소,관광지,17228325,청룡사,지역사찰,강원도,속초시,도문동,,1113-2,128.572313315047,38.1760800185517,라아939200
82,장소,관광지,21086013,속초생선구이거리,먹거리/패션거리,강원도,속초시,중앙동,,468-55,128.591884881542,38.2037637193511,라아956231
83,장소,관광지,814593,신평소류지,지역호수/저수지,강원도,고성군,토성면,신평리,산135,128.509951718001,38.2295712258684,라아883259
84,장소,관광지,8292308,화진포의성,일반관광지,강원도,고성군,거진읍,화포리,530-1,128.443622179434,38.4740671185348,라아823530
85,장소,관광지,8292522,속초등대전망대,일반관광지,강원도,속초시,영랑동,,1-2,128.600230329161,38.2136247971353,라아963242
86,장소,관광지,20739828,송지호오토캠핑장해수욕장,해수욕장,강원도,고성군,죽왕면,오봉리,,128.515718239029,38.342812467236,라아887385
87,장소,관광지,819401,광포호,지역호수/저수지,강원도,고성군,토성면,봉포리,43-11,128.566493744463,38.2405111965716,라아933272
88,장소,관광지,5615366,원각사,지역사찰,강원도,속초시,영랑동,,590-2,128.588874191917,38.215255642477,라아953244
89,장소,관광지,7231268,봉포해수욕장,해수욕장,강원도,고성군,토성면,봉포리,,128.563631078727,38.254122186571,라아930287
90,장소,관광지,19903383,고성명태홍보지원센터,일반관광지,강원도,고성군,거진읍,거진리,340-28,128.454165129204,38.4397451929264,라아832492
91,장소,관광지,22205084,설악힐링온천마을,일반관광지,강원도,속초시,설악동,,산58,128.532942113156,38.1651986137341,라아904188
92,장소,관광지,7231256,문암2리해수욕장,해수욕장,강원도,고성군,죽왕면,문암진리,,128.547775953109,38.2972802290233,라아916335
93,장소,관광지,15907649,청용사,지역사찰,강원도,속초시,도문동,,산153,128.572348095859,38.1769730854855,라아939201
94,장소,관광지,17428107,아바이순대타운,먹거리/패션거리,강원도,속초시,금호동,,492-51,128.589027418968,38.2044899698487,라아953232
95,장소,관광지,20871477,속초빛축제청초환희,지역축제,강원도,속초시,교동,,1025-1,128.582284929577,38.196212697616,라아947223
96,장소,관광지,21011962,아바이마을벽화골목,일반관광지,강원도,속초시,청호동,,433-31,128.597818359705,38.1939465442725,라아961220
97,장소,관광지,21086010,학사평콩꽃마을순두부촌,먹거리/패션거리,강원도,속초시,노학동,,1013-95,128.52330710447,38.2059412063868,라아895233
98,장소,관광지,7231437,청간해수욕장,해수욕장,강원도,고성군,토성면,청간리,,128.556968231022,38.2673906708942,라아924301
99,장소,관광지,8268758,육담폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.501220500155,38.1643071656873,라아877187
100,장소,관광지,8292775,청초호갯배,유명관광지,강원도,속초시,청호동,,550-10,128.592932946988,38.2029892813107,라아956230
101,장소,관광지,10213627,비선대,폭포/계곡,강원도,속초시,설악동,,산41,128.466674337088,38.1628656233469,라아846185
102,장소,관광지,11384558,설악벚꽃축제,지역축제,강원도,속초시,도문동,,323-1,128.557235931439,38.1659124733325,라아926189
103,장소,관광지,16493442,천당폭포,폭포/계곡,강원도,속초시,설악동,,산41,128.473885619895,38.1370322293455,라아853156
104,장소,관광지,16899720,도원리휴양지도원리계곡,폭포/계곡,강원도,고성군,토성면,도원리,398-1,128.4740219083,38.2672604357654,라아852301
105,장소,관광지,17758238,선명불교사,토속/특산물/기념품매장,강원도,속초시,중앙동,,494-6,128.588766559333,38.2059927402955,라아953234
106,장소,관광지,8270601,간성향교,서원/향교/서당,강원도,고성군,간성읍,교동리,664,128.439025450144,38.3782565755115,라아820423
107,장소,관광지,8292170,진부령유원지,일반유원지/일반놀이공원,강원도,고성군,간성읍,진부리,37-1,128.363643097691,38.294327863154,라아755330
108,장소,관광지,19878883,아야진스쿠버리조트,일반관광지,강원도,고성군,토성면,아야진리,1-11,128.556138549308,38.2740035781296,라아923309
109,장소,관광지,833276,논산저수지,지역호수/저수지,강원도,속초시,조양동,,808,128.581293739086,38.1809632277327,라아947206
110,장소,관광지,7231472,뒷장해수욕장,해수욕장,강원도,고성군,거진읍,거진리,,128.465731886032,38.4514893873214,라아842505
111,장소,관광지,11383329,설악문화제,지역축제,강원도,속초시,조양동,,1544-2,128.585707622747,38.1917779052076,라아950218
112,장소,관광지,14915914,죽림정사,지역사찰,강원도,속초시,조양동,,산279,128.584433057662,38.1870141973959,라아949213
113,장소,관광지,8292815,고성통일전망타워,유명관광지,강원도,고성군,현내면,명호리,산31,128.374897217368,38.5866766714309,라아761654
