순위,관광지명,상세주소,중분류 카테고리,소분류 카테고리
"1","속초관광수산시장","강원 속초시 중앙동 471-4","쇼핑","종합시장"
"2","속초해변","강원 속초시 조양동 1464-11","자연관광지","해수욕장"
"3","대포항","강원 속초시 대포동 0-0","자연관광지","항구"
"4","설악케이블카","강원 속초시 설악동 146-2","기타관광지","관광명소기타"
"5","동명항","강원 속초시 동명동 1-131","자연관광지","항구"
"6","영금정전망대","강원 속초시 동명동 1-256","기타관광지","전망대"
"7","설악산국립공원","강원 속초시 설악동 0-0","자연관광지","국/도립공원"
"8","속초항","강원 속초시 동명동 53-3","자연관광지","항구"
"9","외옹치항","강원 속초시 대포동 728-1","자연관광지","항구"
"10","외옹치바다향기로","강원 속초시 대포동 0-0","레포츠(육상/해상/항공)","여행/레저기타"
"11","대포항수산시장","강원 속초시 대포동 963-0","쇼핑","농수축산물시장"
"12","외옹치해변","강원 속초시 대포동 593-2","자연관광지","해수욕장"
"13","설악산소공원","강원 속초시 설악동 0-0","자연관광지","공원"
"14","장사항","강원 속초시 장사동 0-0","자연관광지","항구"
"15","등대해변","강원 속초시 영랑동 0-0","자연관광지","해수욕장"
"16","영랑호","강원 속초시 영랑동 0-0","자연관광지","호수"
"17","청초호호수공원","강원 속초시 교동 0-0","자연관광지","공원"
"18","척산온천장","강원 속초시 노학동 939-7","휴양관광지","온천"
"19","척산온천휴양촌","강원 속초시 노학동 972-1","휴양관광지","온천"
"20","다이소 속초본점","강원 속초시 조양동 1034-1","쇼핑","쇼핑기타"
"21","신흥사","강원 속초시 설악동 170-0","역사관광지","절"
"22","설악프라자CC","강원 속초시 장사동 24-1","레포츠(육상/해상/항공)","골프장"
"23","아바이마을갯배 청호동선착장","강원 속초시 청호동 0-0","자연관광지","항구"
"24","속초등대전망대","강원 속초시 영랑동 1-7","기타관광지","전망대"
"25","낚시왕","강원 속초시 청호동 1352-9","레포츠(육상/해상/항공)","낚시"
"26","설악워터피아","강원 속초시 장사동 24-9","휴양관광지","테마파크"
"27","권금성","강원 속초시 설악동 산 41-0","역사관광지","성"
"28","속초시립박물관","강원 속초시 노학동 736-1","문화시설","박물관/기념관"
"29","설악항활어판매센터","강원 속초시 대포동 178-75","쇼핑","농수축산물시장"
"30","엑스포타워","강원 속초시 조양동 1545-1","기타관광지","전망대"
